,MTU (CET/CEST),Area,Actual Total Load (MW),Day-ahead Total Load Forecast (MW),start_time
0,01/01/2024 00:00 - 01/01/2024 01:00,BZN|FR,52847.0,54300.0,2024-01-01 00:00:00
1,01/01/2024 01:00 - 01/01/2024 02:00,BZN|FR,51600.0,52900.0,2024-01-01 01:00:00
2,01/01/2024 02:00 - 01/01/2024 03:00,BZN|FR,50992.0,51850.0,2024-01-01 02:00:00
3,01/01/2024 03:00 - 01/01/2024 04:00,BZN|FR,48187.0,49250.0,2024-01-01 03:00:00
4,01/01/2024 04:00 - 01/01/2024 05:00,BZN|FR,46479.0,47050.0,2024-01-01 04:00:00
5,01/01/2024 05:00 - 01/01/2024 06:00,BZN|FR,46285.0,46150.0,2024-01-01 05:00:00
6,01/01/2024 06:00 - 01/01/2024 07:00,BZN|FR,46633.0,45500.0,2024-01-01 06:00:00
7,01/01/2024 07:00 - 01/01/2024 08:00,BZN|FR,46820.0,45100.0,2024-01-01 07:00:00
8,01/01/2024 08:00 - 01/01/2024 09:00,BZN|FR,46877.0,45300.0,2024-01-01 08:00:00
9,01/01/2024 09:00 - 01/01/2024 10:00,BZN|FR,47690.0,45650.0,2024-01-01 09:00:00
10,01/01/2024 10:00 - 01/01/2024 11:00,BZN|FR,49158.0,47850.0,2024-01-01 10:00:00
11,01/01/2024 11:00 - 01/01/2024 12:00,BZN|FR,50275.0,50550.0,2024-01-01 11:00:00
12,01/01/2024 12:00 - 01/01/2024 13:00,BZN|FR,50897.0,51300.0,2024-01-01 12:00:00
13,01/01/2024 13:00 - 01/01/2024 14:00,BZN|FR,49197.0,50000.0,2024-01-01 13:00:00
14,01/01/2024 14:00 - 01/01/2024 15:00,BZN|FR,48355.0,48900.0,2024-01-01 14:00:00
15,01/01/2024 15:00 - 01/01/2024 16:00,BZN|FR,47879.0,47900.0,2024-01-01 15:00:00
16,01/01/2024 16:00 - 01/01/2024 17:00,BZN|FR,47633.0,47200.0,2024-01-01 16:00:00
17,01/01/2024 17:00 - 01/01/2024 18:00,BZN|FR,50761.0,49300.0,2024-01-01 17:00:00
18,01/01/2024 18:00 - 01/01/2024 19:00,BZN|FR,53965.0,52300.0,2024-01-01 18:00:00
19,01/01/2024 19:00 - 01/01/2024 20:00,BZN|FR,54973.0,53900.0,2024-01-01 19:00:00
20,01/01/2024 20:00 - 01/01/2024 21:00,BZN|FR,53641.0,52550.0,2024-01-01 20:00:00
21,01/01/2024 21:00 - 01/01/2024 22:00,BZN|FR,52244.0,51150.0,2024-01-01 21:00:00
22,01/01/2024 22:00 - 01/01/2024 23:00,BZN|FR,53034.0,50850.0,2024-01-01 22:00:00
23,01/01/2024 23:00 - 02/01/2024 00:00,BZN|FR,53157.0,52750.0,2024-01-01 23:00:00
24,02/01/2024 00:00 - 02/01/2024 01:00,BZN|FR,50832.0,49600.0,2024-01-02 00:00:00
25,02/01/2024 01:00 - 02/01/2024 02:00,BZN|FR,49234.0,47650.0,2024-01-02 01:00:00
26,02/01/2024 02:00 - 02/01/2024 03:00,BZN|FR,48397.0,47500.0,2024-01-02 02:00:00
27,02/01/2024 03:00 - 02/01/2024 04:00,BZN|FR,46148.0,45500.0,2024-01-02 03:00:00
28,02/01/2024 04:00 - 02/01/2024 05:00,BZN|FR,45319.0,44200.0,2024-01-02 04:00:00
29,02/01/2024 05:00 - 02/01/2024 06:00,BZN|FR,46963.0,44550.0,2024-01-02 05:00:00
30,02/01/2024 06:00 - 02/01/2024 07:00,BZN|FR,50314.0,47150.0,2024-01-02 06:00:00
31,02/01/2024 07:00 - 02/01/2024 08:00,BZN|FR,53487.0,50550.0,2024-01-02 07:00:00
32,02/01/2024 08:00 - 02/01/2024 09:00,BZN|FR,55847.0,52950.0,2024-01-02 08:00:00
33,02/01/2024 09:00 - 02/01/2024 10:00,BZN|FR,57652.0,54550.0,2024-01-02 09:00:00
34,02/01/2024 10:00 - 02/01/2024 11:00,BZN|FR,59159.0,56400.0,2024-01-02 10:00:00
35,02/01/2024 11:00 - 02/01/2024 12:00,BZN|FR,60575.0,57750.0,2024-01-02 11:00:00
36,02/01/2024 12:00 - 02/01/2024 13:00,BZN|FR,61433.0,59400.0,2024-01-02 12:00:00
37,02/01/2024 13:00 - 02/01/2024 14:00,BZN|FR,60080.0,57750.0,2024-01-02 13:00:00
38,02/01/2024 14:00 - 02/01/2024 15:00,BZN|FR,59888.0,56550.0,2024-01-02 14:00:00
39,02/01/2024 15:00 - 02/01/2024 16:00,BZN|FR,58747.0,55250.0,2024-01-02 15:00:00
40,02/01/2024 16:00 - 02/01/2024 17:00,BZN|FR,57433.0,54100.0,2024-01-02 16:00:00
41,02/01/2024 17:00 - 02/01/2024 18:00,BZN|FR,58778.0,55500.0,2024-01-02 17:00:00
42,02/01/2024 18:00 - 02/01/2024 19:00,BZN|FR,61040.0,58050.0,2024-01-02 18:00:00
43,02/01/2024 19:00 - 02/01/2024 20:00,BZN|FR,61209.0,59000.0,2024-01-02 19:00:00
44,02/01/2024 20:00 - 02/01/2024 21:00,BZN|FR,58059.0,56350.0,2024-01-02 20:00:00
45,02/01/2024 21:00 - 02/01/2024 22:00,BZN|FR,55019.0,53500.0,2024-01-02 21:00:00
46,02/01/2024 22:00 - 02/01/2024 23:00,BZN|FR,54961.0,52100.0,2024-01-02 22:00:00
47,02/01/2024 23:00 - 03/01/2024 00:00,BZN|FR,54616.0,53050.0,2024-01-02 23:00:00
48,03/01/2024 00:00 - 03/01/2024 01:00,BZN|FR,52058.0,52500.0,2024-01-03 00:00:00
49,03/01/2024 01:00 - 03/01/2024 02:00,BZN|FR,50384.0,50100.0,2024-01-03 01:00:00
50,03/01/2024 02:00 - 03/01/2024 03:00,BZN|FR,49378.0,49550.0,2024-01-03 02:00:00
51,03/01/2024 03:00 - 03/01/2024 04:00,BZN|FR,47164.0,47050.0,2024-01-03 03:00:00
52,03/01/2024 04:00 - 03/01/2024 05:00,BZN|FR,46297.0,45850.0,2024-01-03 04:00:00
53,03/01/2024 05:00 - 03/01/2024 06:00,BZN|FR,47997.0,47150.0,2024-01-03 05:00:00
54,03/01/2024 06:00 - 03/01/2024 07:00,BZN|FR,52066.0,50600.0,2024-01-03 06:00:00
55,03/01/2024 07:00 - 03/01/2024 08:00,BZN|FR,55581.0,54300.0,2024-01-03 07:00:00
56,03/01/2024 08:00 - 03/01/2024 09:00,BZN|FR,58221.0,57800.0,2024-01-03 08:00:00
57,03/01/2024 09:00 - 03/01/2024 10:00,BZN|FR,59455.0,59150.0,2024-01-03 09:00:00
58,03/01/2024 10:00 - 03/01/2024 11:00,BZN|FR,60022.0,60400.0,2024-01-03 10:00:00
59,03/01/2024 11:00 - 03/01/2024 12:00,BZN|FR,60811.0,60850.0,2024-01-03 11:00:00
60,03/01/2024 12:00 - 03/01/2024 13:00,BZN|FR,60735.0,61500.0,2024-01-03 12:00:00
61,03/01/2024 13:00 - 03/01/2024 14:00,BZN|FR,59067.0,59750.0,2024-01-03 13:00:00
62,03/01/2024 14:00 - 03/01/2024 15:00,BZN|FR,58893.0,58450.0,2024-01-03 14:00:00
63,03/01/2024 15:00 - 03/01/2024 16:00,BZN|FR,57683.0,57600.0,2024-01-03 15:00:00
64,03/01/2024 16:00 - 03/01/2024 17:00,BZN|FR,56846.0,56600.0,2024-01-03 16:00:00
65,03/01/2024 17:00 - 03/01/2024 18:00,BZN|FR,58996.0,58550.0,2024-01-03 17:00:00
66,03/01/2024 18:00 - 03/01/2024 19:00,BZN|FR,61693.0,61400.0,2024-01-03 18:00:00
67,03/01/2024 19:00 - 03/01/2024 20:00,BZN|FR,62084.0,62400.0,2024-01-03 19:00:00
68,03/01/2024 20:00 - 03/01/2024 21:00,BZN|FR,58888.0,59500.0,2024-01-03 20:00:00
69,03/01/2024 21:00 - 03/01/2024 22:00,BZN|FR,55723.0,55950.0,2024-01-03 21:00:00
70,03/01/2024 22:00 - 03/01/2024 23:00,BZN|FR,55781.0,54550.0,2024-01-03 22:00:00
71,03/01/2024 23:00 - 04/01/2024 00:00,BZN|FR,55519.0,56550.0,2024-01-03 23:00:00
72,04/01/2024 00:00 - 04/01/2024 01:00,BZN|FR,53126.0,54600.0,2024-01-04 00:00:00
73,04/01/2024 01:00 - 04/01/2024 02:00,BZN|FR,51288.0,52500.0,2024-01-04 01:00:00
74,04/01/2024 02:00 - 04/01/2024 03:00,BZN|FR,50469.0,52050.0,2024-01-04 02:00:00
75,04/01/2024 03:00 - 04/01/2024 04:00,BZN|FR,48260.0,49500.0,2024-01-04 03:00:00
76,04/01/2024 04:00 - 04/01/2024 05:00,BZN|FR,47341.0,48050.0,2024-01-04 04:00:00
77,04/01/2024 05:00 - 04/01/2024 06:00,BZN|FR,49266.0,49250.0,2024-01-04 05:00:00
78,04/01/2024 06:00 - 04/01/2024 07:00,BZN|FR,53286.0,53050.0,2024-01-04 06:00:00
79,04/01/2024 07:00 - 04/01/2024 08:00,BZN|FR,57123.0,57300.0,2024-01-04 07:00:00
80,04/01/2024 08:00 - 04/01/2024 09:00,BZN|FR,60152.0,60850.0,2024-01-04 08:00:00
81,04/01/2024 09:00 - 04/01/2024 10:00,BZN|FR,60875.0,62200.0,2024-01-04 09:00:00
82,04/01/2024 10:00 - 04/01/2024 11:00,BZN|FR,61051.0,63000.0,2024-01-04 10:00:00
83,04/01/2024 11:00 - 04/01/2024 12:00,BZN|FR,61337.0,63350.0,2024-01-04 11:00:00
84,04/01/2024 12:00 - 04/01/2024 13:00,BZN|FR,60736.0,63300.0,2024-01-04 12:00:00
85,04/01/2024 13:00 - 04/01/2024 14:00,BZN|FR,58823.0,61700.0,2024-01-04 13:00:00
86,04/01/2024 14:00 - 04/01/2024 15:00,BZN|FR,58079.0,61700.0,2024-01-04 14:00:00
87,04/01/2024 15:00 - 04/01/2024 16:00,BZN|FR,57162.0,60450.0,2024-01-04 15:00:00
88,04/01/2024 16:00 - 04/01/2024 17:00,BZN|FR,56459.0,58850.0,2024-01-04 16:00:00
89,04/01/2024 17:00 - 04/01/2024 18:00,BZN|FR,58760.0,59800.0,2024-01-04 17:00:00
90,04/01/2024 18:00 - 04/01/2024 19:00,BZN|FR,61750.0,63000.0,2024-01-04 18:00:00
91,04/01/2024 19:00 - 04/01/2024 20:00,BZN|FR,62120.0,63900.0,2024-01-04 19:00:00
92,04/01/2024 20:00 - 04/01/2024 21:00,BZN|FR,58945.0,61050.0,2024-01-04 20:00:00
93,04/01/2024 21:00 - 04/01/2024 22:00,BZN|FR,56198.0,57600.0,2024-01-04 21:00:00
94,04/01/2024 22:00 - 04/01/2024 23:00,BZN|FR,56465.0,56100.0,2024-01-04 22:00:00
95,04/01/2024 23:00 - 05/01/2024 00:00,BZN|FR,56200.0,58050.0,2024-01-04 23:00:00
96,05/01/2024 00:00 - 05/01/2024 01:00,BZN|FR,53666.0,54400.0,2024-01-05 00:00:00
97,05/01/2024 01:00 - 05/01/2024 02:00,BZN|FR,51800.0,52050.0,2024-01-05 01:00:00
98,05/01/2024 02:00 - 05/01/2024 03:00,BZN|FR,51003.0,51700.0,2024-01-05 02:00:00
99,05/01/2024 03:00 - 05/01/2024 04:00,BZN|FR,48917.0,49200.0,2024-01-05 03:00:00
100,05/01/2024 04:00 - 05/01/2024 05:00,BZN|FR,48163.0,48150.0,2024-01-05 04:00:00
101,05/01/2024 05:00 - 05/01/2024 06:00,BZN|FR,50244.0,48650.0,2024-01-05 05:00:00
102,05/01/2024 06:00 - 05/01/2024 07:00,BZN|FR,54104.0,52100.0,2024-01-05 06:00:00
103,05/01/2024 07:00 - 05/01/2024 08:00,BZN|FR,57936.0,56200.0,2024-01-05 07:00:00
104,05/01/2024 08:00 - 05/01/2024 09:00,BZN|FR,60997.0,59350.0,2024-01-05 08:00:00
105,05/01/2024 09:00 - 05/01/2024 10:00,BZN|FR,62376.0,60650.0,2024-01-05 09:00:00
106,05/01/2024 10:00 - 05/01/2024 11:00,BZN|FR,62854.0,61500.0,2024-01-05 10:00:00
107,05/01/2024 11:00 - 05/01/2024 12:00,BZN|FR,63285.0,61800.0,2024-01-05 11:00:00
108,05/01/2024 12:00 - 05/01/2024 13:00,BZN|FR,62681.0,61700.0,2024-01-05 12:00:00
109,05/01/2024 13:00 - 05/01/2024 14:00,BZN|FR,60656.0,59650.0,2024-01-05 13:00:00
110,05/01/2024 14:00 - 05/01/2024 15:00,BZN|FR,60136.0,59150.0,2024-01-05 14:00:00
111,05/01/2024 15:00 - 05/01/2024 16:00,BZN|FR,59026.0,57650.0,2024-01-05 15:00:00
112,05/01/2024 16:00 - 05/01/2024 17:00,BZN|FR,58096.0,56250.0,2024-01-05 16:00:00
113,05/01/2024 17:00 - 05/01/2024 18:00,BZN|FR,60567.0,57150.0,2024-01-05 17:00:00
114,05/01/2024 18:00 - 05/01/2024 19:00,BZN|FR,63464.0,60650.0,2024-01-05 18:00:00
115,05/01/2024 19:00 - 05/01/2024 20:00,BZN|FR,63539.0,61750.0,2024-01-05 19:00:00
116,05/01/2024 20:00 - 05/01/2024 21:00,BZN|FR,60647.0,58800.0,2024-01-05 20:00:00
117,05/01/2024 21:00 - 05/01/2024 22:00,BZN|FR,58149.0,55750.0,2024-01-05 21:00:00
118,05/01/2024 22:00 - 05/01/2024 23:00,BZN|FR,58513.0,54500.0,2024-01-05 22:00:00
119,05/01/2024 23:00 - 06/01/2024 00:00,BZN|FR,58566.0,56700.0,2024-01-05 23:00:00
120,06/01/2024 00:00 - 06/01/2024 01:00,BZN|FR,56316.0,57000.0,2024-01-06 00:00:00
121,06/01/2024 01:00 - 06/01/2024 02:00,BZN|FR,54622.0,54650.0,2024-01-06 01:00:00
122,06/01/2024 02:00 - 06/01/2024 03:00,BZN|FR,53585.0,54200.0,2024-01-06 02:00:00
123,06/01/2024 03:00 - 06/01/2024 04:00,BZN|FR,51213.0,51750.0,2024-01-06 03:00:00
124,06/01/2024 04:00 - 06/01/2024 05:00,BZN|FR,49670.0,50100.0,2024-01-06 04:00:00
125,06/01/2024 05:00 - 06/01/2024 06:00,BZN|FR,49984.0,49850.0,2024-01-06 05:00:00
126,06/01/2024 06:00 - 06/01/2024 07:00,BZN|FR,51495.0,51150.0,2024-01-06 06:00:00
127,06/01/2024 07:00 - 06/01/2024 08:00,BZN|FR,53366.0,53400.0,2024-01-06 07:00:00
128,06/01/2024 08:00 - 06/01/2024 09:00,BZN|FR,55416.0,55600.0,2024-01-06 08:00:00
129,06/01/2024 09:00 - 06/01/2024 10:00,BZN|FR,57695.0,57500.0,2024-01-06 09:00:00
130,06/01/2024 10:00 - 06/01/2024 11:00,BZN|FR,59424.0,59100.0,2024-01-06 10:00:00
131,06/01/2024 11:00 - 06/01/2024 12:00,BZN|FR,60193.0,59800.0,2024-01-06 11:00:00
132,06/01/2024 12:00 - 06/01/2024 13:00,BZN|FR,60746.0,60450.0,2024-01-06 12:00:00
133,06/01/2024 13:00 - 06/01/2024 14:00,BZN|FR,58772.0,58500.0,2024-01-06 13:00:00
